# z  nz0 nz1 nz2 nz3 nz4
5.849999999999999645e-01 4.444076031418949836e-03 1.684664301394212318e-02 1.429618469919614367e-02 5.922599243931248210e-03 1.268137686403411150e+09
5.949999999999999734e-01 4.370961910040895536e-03 1.684347484778686219e-02 1.431826805188678511e-02 5.909131228213969182e-03 1.783351019870554924e+09
6.049999999999999822e-01 3.937594096490538639e-03 1.615433478259064790e-02 1.536449294844364696e-02 6.053003735385704964e-03 1.913365327373700619e+09
6.149999999999999911e-01 2.848167162973429430e-03 1.369833257933235696e-02 1.836377753195934937e-02 6.653938479457160472e-03 1.696261289990240097e+09
6.250000000000000000e-01 2.384337466198259512e-03 1.304567095688917780e-02 1.916007411091124463e-02 6.849223549178620751e-03 1.423591689843123436e+09
6.350000000000000089e-01 2.337500183714710279e-03 1.305994017886074471e-02 1.917708195364980703e-02 6.845165846409704755e-03 1.113222615702031374e+09
6.450000000000000178e-01 2.329077554725002622e-03 1.304998184079734537e-02 1.919734359451587616e-02 6.830899595061236916e-03 1.137143926291741371e+09
6.550000000000000266e-01 2.205943281441266265e-03 1.215013109629505678e-02 1.988955188193402765e-02 6.711239621740372648e-03 2.612094786409562111e+09
6.650000000000000355e-01 1.855528732087384372e-03 9.395367091016786076e-03 2.202644980015357190e-02 6.255202209475342959e-03 3.521301510543998718e+09
6.750000000000000444e-01 1.731787793822942966e-03 8.579879680231695949e-03 2.267858320550248177e-02 6.149919081954329826e-03 2.642518354020115376e+09
6.850000000000000533e-01 1.734472440915538378e-03 8.536934885184038410e-03 2.270921613389109694e-02 6.146848739614386124e-03 2.074798827900301695e+09
6.950000000000000622e-01 1.711117084890752911e-03 8.533331110959403026e-03 2.265523884540495206e-02 6.144067543664584290e-03 2.569346254490334511e+09
7.050000000000000711e-01 1.399845808695995408e-03 7.981187870552994973e-03 2.270356683128823064e-02 6.383658009485787543e-03 2.783840469107069492e+09
7.149999999999999689e-01 6.576696333856657962e-04 6.152625511078712445e-03 2.291009185615057800e-02 7.475961802963486218e-03 2.371677001817952156e+09
7.249999999999999778e-01 3.999006492591818075e-04 5.576532217486996658e-03 2.293588795790557633e-02 7.724657846558432087e-03 2.217099393012737751e+09
7.349999999999999867e-01 3.883605255423188394e-04 5.576008974972276877e-03 2.288598429442674845e-02 7.716682962624193780e-03 2.188849671485621452e+09
7.449999999999999956e-01 3.904806322493538525e-04 5.570769606853646916e-03 2.287748829196513747e-02 7.719857879580349636e-03 1.981955701477381706e+09
7.550000000000000044e-01 3.593458694194365190e-04 5.103404339993076848e-03 2.273484384189072491e-02 7.939216994983205877e-03 1.429309361175421238e+09
7.650000000000000133e-01 2.815590710714250774e-04 3.667035893134648183e-03 2.203205388608092674e-02 8.986711861490652778e-03 9.909991124317375422e+08
7.750000000000000222e-01 2.543680457642262180e-04 3.248883010817801235e-03 2.186783478119211019e-02 9.223100015301159346e-03 1.068991648626829147e+09
7.850000000000000311e-01 2.547839372263763853e-04 3.235964389817564107e-03 2.183127750886012033e-02 9.220003959601794780e-03 1.743783902634016275e+09
7.950000000000000400e-01 2.565743162969073127e-04 3.212786425182260954e-03 2.179067483453284854e-02 9.220829165276823308e-03 2.110824801160633087e+09
8.050000000000000488e-01 2.290644535803612191e-04 2.992213076790148536e-03 2.159582511788406961e-02 9.874088896737359330e-03 1.974186639922184944e+09
8.150000000000000577e-01 1.576406177755040265e-04 2.462123817688395815e-03 2.074565976559089586e-02 1.289192664139725622e-02 2.233536830939475060e+09
8.250000000000000666e-01 1.234247235584410435e-04 2.269860548596114563e-03 2.054501815440675297e-02 1.356540186329144998e-02 2.817696367674320221e+09
8.349999999999999645e-01 1.189763963676604891e-04 2.265253905150864475e-03 2.050460622396040392e-02 1.355160034425963861e-02 2.981676006399066448e+09
8.449999999999999734e-01 1.158819553878320764e-04 2.250904137049908067e-03 2.046399314860823659e-02 1.352328091347418382e-02 2.819989320546763420e+09
8.549999999999999822e-01 7.681642121638753893e-05 2.097216620905617990e-03 1.970185484127840586e-02 1.363141139616219633e-02 2.837021533794337273e+09
8.649999999999999911e-01 -2.212694679640471297e-05 1.728724513720411755e-03 1.655183547137750733e-02 1.414996041787588109e-02 2.370196123791207314e+09
8.750000000000000000e-01 -6.586597744450965633e-05 1.573335752455019007e-03 1.590296592709090212e-02 1.427482998881480190e-02 1.478326288278320312e+09
8.850000000000000089e-01 -6.771413635413950946e-05 1.566198970264282963e-03 1.585097906532207529e-02 1.425311939223196725e-02 1.517207488624562979e+09
